,r2_true,r2_samp,mse_true,mse_samp,n_samples,trial,method,dataset,kernel
0,0.8784202870633426,0.8849426995866108,0.048126973430482285,0.0027349909903367,20000,0,pca,0,gamma-exponential
1,0.8377029256247823,0.4779499606065063,0.07021152528757785,0.012409487699747656,20000,0,full,0,gamma-exponential
2,0.9962810179946745,0.9934924114318779,0.0016981671645248878,0.0001546898461782513,20000,0,block,0,gamma-exponential
3,0.882161377580955,0.8748069645830868,0.046502591642570125,0.00296219617654749,20000,1,pca,0,gamma-exponential
4,0.835577032021901,0.47459453462244205,0.07059268516015023,0.01243163451940952,20000,1,full,0,gamma-exponential
5,0.9719693044236202,0.9552118297148383,0.013905584475017557,0.0010597342442528583,20000,1,block,0,gamma-exponential
6,0.8692356780422674,0.862615344619772,0.051076727802740814,0.0032323552963533096,20000,2,pca,0,gamma-exponential
7,0.8482632915285991,0.550337628279241,0.06680338623422247,0.010579555226016633,20000,2,full,0,gamma-exponential
8,0.9970235706848826,0.9938444343132143,0.001399182415952198,0.00014482676609454826,20000,2,block,0,gamma-exponential
9,0.8676022079628464,0.866389760329578,0.05144438500467141,0.003144204057821795,20000,3,pca,0,gamma-exponential
10,0.848166883188432,0.6285049111669467,0.06293951648890822,0.00874226682514015,20000,3,full,0,gamma-exponential
11,0.9941785852330772,0.9917389869618837,0.0026193438362464437,0.00019440359346884812,20000,3,block,0,gamma-exponential
12,0.875834718470367,0.8650717505978145,0.04862891245384519,0.003174412664557627,20000,4,pca,0,gamma-exponential
13,0.809396155084468,0.40136814701408297,0.08039339487950307,0.014083815242142418,20000,4,full,0,gamma-exponential
14,0.9945140679341531,0.9917594386753575,0.0025398467424384515,0.00019387298321818272,20000,4,block,0,gamma-exponential
15,0.8654695290125995,0.8588710114642554,0.052190185049029926,0.0032968620800490514,20000,5,pca,0,gamma-exponential
16,0.8474943648435863,0.5133011287339423,0.06286875916573458,0.011369592241308658,20000,5,full,0,gamma-exponential
17,0.9870523866106574,0.9740334150856728,0.005569370371658842,0.0006065957819200028,20000,5,block,0,gamma-exponential
18,0.8667179794429396,0.8714758161481713,0.05194818116576203,0.0030109131850421,20000,6,pca,0,gamma-exponential
19,0.7654646757393754,0.2416017026410041,0.0997669696999224,0.01776686196011343,20000,6,full,0,gamma-exponential
20,0.9960561313726904,0.9918336833275556,0.0018395813655322747,0.00019131084754164874,20000,6,block,0,gamma-exponential
21,0.8598694125026626,0.8521484078243609,0.05390332725626392,0.0034671366185349676,20000,7,pca,0,gamma-exponential
22,0.7831457576242361,0.27336910691186467,0.09099374981598186,0.017039576919752233,20000,7,full,0,gamma-exponential
23,0.6753881262436536,0.9119217964790727,0.11627652793356737,0.002065443869954473,20000,7,block,0,gamma-exponential
24,0.8675995105423259,0.8667137678103697,0.05180441398512751,0.0031275786729631724,20000,8,pca,0,gamma-exponential
