,r2_true,r2_samp,mse_true,mse_samp,n_samples,trial,method,dataset,kernel
0,0.9487984905553438,0.9095349472154456,0.021606345738063557,0.00354916058250263,5000,0,pca,0,rational quadratic
1,0.9844228260372113,0.9717675447322932,0.006567727145510678,0.001107626805038705,5000,0,full,0,rational quadratic
2,0.992360192816661,0.9810258600006911,0.003493148186840872,0.0007444009338369749,5000,0,block,0,rational quadratic
3,0.9464147571213775,0.9069279103741218,0.02253316971134911,0.0036175203030103065,5000,1,pca,0,rational quadratic
4,0.9812270522292498,0.9628331479266143,0.00793917691997622,0.001444598939541482,5000,1,full,0,rational quadratic
5,0.9842208341359365,0.9718170494577619,0.006738655304795443,0.0010954132027667957,5000,1,block,0,rational quadratic
6,0.9386764992912925,0.8940057322559738,0.024807823350903466,0.00403371076759555,5000,2,pca,0,rational quadratic
7,0.9831486496298192,0.9652009840577968,0.00749183423985587,0.0013243090243972712,5000,2,full,0,rational quadratic
8,0.991518072317043,0.9688999119902458,0.00391699989852402,0.001183542870271727,5000,2,block,0,rational quadratic
9,0.9231006060151717,0.8673200578163183,0.03057028673894474,0.005094006302276132,5000,3,pca,0,rational quadratic
10,0.9853648649750405,0.9680287052041145,0.0059050999647724855,0.0012274800131937289,5000,3,full,0,rational quadratic
11,0.9853768783228675,0.983349897019621,0.006346070470305363,0.0006392505763846208,5000,3,block,0,rational quadratic
12,0.9318573478539297,0.8938451009490797,0.027477240502621885,0.004122773698500127,5000,4,pca,0,rational quadratic
13,0.9888629156530632,0.977792294440802,0.004935170784999798,0.0008624881677818623,5000,4,full,0,rational quadratic
14,0.9872496752071921,0.9794720335497106,0.005492550410819276,0.0007972515721987524,5000,4,block,0,rational quadratic
15,0.9333909597684867,0.8759056817203738,0.026833521938438114,0.004651522564564037,5000,5,pca,0,rational quadratic
16,0.9889044899630332,0.9745671494787411,0.0047681194207960485,0.000953319053772042,5000,5,full,0,rational quadratic
17,0.9858690130242823,0.9717885239978346,0.0063575833362583935,0.0010574724050462349,5000,5,block,0,rational quadratic
18,0.9446323309453565,0.8945591306116584,0.02303838406243233,0.004071630918997873,5000,6,pca,0,rational quadratic
19,0.9746710688544994,0.9552852654187464,0.01120805218269022,0.0017266729391738685,5000,6,full,0,rational quadratic
20,0.990040576108656,0.9850548126623333,0.004439600720984727,0.0005771129089437064,5000,6,block,0,rational quadratic
21,0.9311010062452377,0.8897446681201768,0.02779865255798004,0.0041696577347949265,5000,7,pca,0,rational quadratic
22,0.9678623652114129,0.930652350158336,0.013327616452226363,0.0026226030036109313,5000,7,full,0,rational quadratic
23,0.9921835095537584,0.9792981609185241,0.003594971296515516,0.0007829062048866995,5000,7,block,0,rational quadratic
24,0.9415003705216466,0.8977562426525895,0.023973366377135288,0.003929958702783436,5000,8,pca,0,rational quadratic
25,0.9852201735360797,0.9696025289179274,0.006509218832190723,0.001168392174944112,5000,8,full,0,rational quadratic
26,0.9906200159704515,0.9744052995514805,0.004545120073881834,0.0009837873566306504,5000,8,block,0,rational quadratic
27,0.9274028834214811,0.8910758195688738,0.029128962583475488,0.004245415796409456,5000,9,pca,0,rational quadratic
28,0.9804733468439067,0.9643720936452115,0.008454406450914465,0.0013886290062770446,5000,9,full,0,rational quadratic
29,0.9907809997222108,0.986207326428871,0.00413760533979606,0.0005375815913585461,5000,9,block,0,rational quadratic
30,0.9362732513950207,0.9037290800728425,0.025927184532917997,0.003772995574863459,5000,10,pca,0,rational quadratic
31,0.9825023901867525,0.9671916305682731,0.0077668180850990615,0.0012858071033085858,5000,10,full,0,rational quadratic
32,0.9823328999340367,0.9675076255418653,0.0076944712901359,0.0012734228065973386,5000,10,block,0,rational quadratic
33,0.9486510027555992,0.9049763131016362,0.0220643209639485,0.0037033497365135974,5000,11,pca,0,rational quadratic
34,0.9792204087087527,0.9565999524433993,0.008521405134280123,0.0016914262109754238,5000,11,full,0,rational quadratic
35,0.9878546069148758,0.9760775206676428,0.004991462095072822,0.0009323286690296035,5000,11,block,0,rational quadratic
36,0.9297240852744636,0.8853389184671948,0.028495147463096494,0.004385270399930685,5000,12,pca,0,rational quadratic
37,0.9834204880740215,0.9673626047206239,0.007630254442433936,0.0012482335029129913,5000,12,full,0,rational quadratic
38,0.9935489430316129,0.9890293475717733,0.002900815370881784,0.0004195780880338727,5000,12,block,0,rational quadratic
39,0.9514667341014721,0.9135828907181529,0.020773127816340053,0.0033249038064210863,5000,13,pca,0,rational quadratic
40,0.9872793805805639,0.9750264391452188,0.00543179818100491,0.000960859351070574,5000,13,full,0,rational quadratic
41,0.9909219843308508,0.986140818893987,0.00403003063733713,0.0005332328794171049,5000,13,block,0,rational quadratic
42,0.9461686410247884,0.9001354944747146,0.02296273183617618,0.0037371694131667754,5000,14,pca,0,rational quadratic
43,0.9801276829599831,0.9650187396622543,0.00850816552248854,0.0013090826964055474,5000,14,full,0,rational quadratic
44,0.9831484872646351,0.974362384043262,0.008103370050453045,0.0009594211043860646,5000,14,block,0,rational quadratic
45,0.9483864652151682,0.8987392461795592,0.021198946452254532,0.003992915734621885,5000,15,pca,0,rational quadratic
46,0.9796495977419276,0.965124631217487,0.009136788079455463,0.001375206123878634,5000,15,full,0,rational quadratic
47,0.9814178730587558,0.9646010245501911,0.008350259940216096,0.0013958529907220898,5000,15,block,0,rational quadratic
48,0.9388570916394654,0.9057575591292809,0.025179625240627012,0.003580035265806088,5000,16,pca,0,rational quadratic
49,0.9853706523534713,0.9728497319688558,0.006309148260242228,0.0010313709633319069,5000,16,full,0,rational quadratic
50,0.992123204928201,0.9866914264358491,0.003626864844622301,0.0005055595149810911,5000,16,block,0,rational quadratic
51,0.9333884808210472,0.8735737190650815,0.02695387887964353,0.0049407539626031656,5000,17,pca,0,rational quadratic
52,0.9762115245178768,0.953527233339191,0.010172587747800749,0.0018161611995113802,5000,17,full,0,rational quadratic
53,0.9927144018261315,0.9820898236847586,0.003331434510955534,0.0006999318017272269,5000,17,block,0,rational quadratic
54,0.9339175567300648,0.8762997161038129,0.027261497134191192,0.00480070297418122,5000,18,pca,0,rational quadratic
55,0.9845943715537094,0.969997053856701,0.006771032546404546,0.0011643888619141186,5000,18,full,0,rational quadratic
56,0.9935240501023671,0.9880675035783195,0.002902795078171001,0.000463090053285915,5000,18,block,0,rational quadratic
57,0.944624699308786,0.900907204204652,0.022643784546634977,0.003754698871601849,5000,19,pca,0,rational quadratic
58,0.9809397833581798,0.9517026199394124,0.008451189616798452,0.0018300232318536204,5000,19,full,0,rational quadratic
59,0.9837265767197533,0.9540614967890527,0.007694647948888592,0.0017406436541103109,5000,19,block,0,rational quadratic
60,0.9368863090332259,0.873385170141278,0.02551379614301284,0.004841705871038896,5000,20,pca,0,rational quadratic
61,0.9790012235125524,0.9540667570060786,0.00925753045763369,0.0017564708062055303,5000,20,full,0,rational quadratic
62,0.9922708104649387,0.9895393718985708,0.003506238544981331,0.0004000106823976076,5000,20,block,0,rational quadratic
63,0.9351189119098479,0.8891007594008484,0.02611821288643576,0.004282520073255216,5000,21,pca,0,rational quadratic
64,0.9787863530335876,0.9583070934599615,0.008635524715645278,0.0016100264366592499,5000,21,full,0,rational quadratic
65,0.9900484245044138,0.9839844192512351,0.004434152261951464,0.0006184627204917942,5000,21,block,0,rational quadratic
66,0.9262039593194012,0.8672891953137398,0.02948450239192055,0.005079893197034491,5000,22,pca,0,rational quadratic
67,0.986396356731361,0.9706831565071409,0.006092171539256887,0.0011221877086042436,5000,22,full,0,rational quadratic
68,0.987871097098706,0.9764718286701038,0.005371571510356336,0.0009006093946906466,5000,22,block,0,rational quadratic
69,0.9364860222617422,0.8979346142174587,0.02641752174724452,0.003883587717902796,5000,23,pca,0,rational quadratic
70,0.9812157532678473,0.9633384576657633,0.007942670120386913,0.0013949716099830708,5000,23,full,0,rational quadratic
71,0.9937849180747341,0.9870739695505256,0.0028548853800339693,0.0004918354318649225,5000,23,block,0,rational quadratic
72,0.9384257378884415,0.8819134383528826,0.02507512149733986,0.004617111264445496,5000,24,pca,0,rational quadratic
73,0.9827063800513688,0.964388589924694,0.00740031796170434,0.0013923840300544227,5000,24,full,0,rational quadratic
74,0.9947744285159174,0.9896191033030234,0.0023956021087171886,0.0004058866174619088,5000,24,block,0,rational quadratic
75,0.9332078493100013,0.8607135175776234,0.026732242487624236,0.005413248374688043,5000,25,pca,0,rational quadratic
76,0.9821812410458851,0.9671266102017119,0.007617038301262852,0.0012775957925080118,5000,25,full,0,rational quadratic
77,0.9944113753980979,0.9810645734931929,0.0025487121010048866,0.0007359089337267354,5000,25,block,0,rational quadratic
78,0.9415480862857549,0.8839958412035213,0.024134541584045533,0.004423553959120022,5000,26,pca,0,rational quadratic
79,0.983107396341468,0.9696604528439468,0.007696736304140854,0.0011569294181558434,5000,26,full,0,rational quadratic
80,0.9891242843773577,0.9780027094425126,0.005021616670894871,0.0008388164936931606,5000,26,block,0,rational quadratic
81,0.937397591966329,0.8983005807839269,0.025594059030697308,0.0038871489179722702,5000,27,pca,0,rational quadratic
82,0.9822120219098646,0.9624655638032489,0.00736794756807765,0.001434638901318734,5000,27,full,0,rational quadratic
83,0.9916408758520361,0.9847173970607526,0.003922935796262725,0.0005841307053374658,5000,27,block,0,rational quadratic
84,0.9456315930218677,0.9026758649581849,0.02299144834421607,0.0036807511079279087,5000,28,pca,0,rational quadratic
85,0.9881970608253575,0.9761726235015981,0.005126364500198274,0.0009011397060742122,5000,28,full,0,rational quadratic
86,0.995004661970534,0.991221153876807,0.002328340003441324,0.00033201165959901235,5000,28,block,0,rational quadratic
87,0.9452820636755469,0.900096050914406,0.022662550667117868,0.0037124639884602217,5000,29,pca,0,rational quadratic
88,0.9794715267965955,0.9648056396656537,0.008789901196664871,0.0013078341400319495,5000,29,full,0,rational quadratic
89,0.9950250032885691,0.9867541561184542,0.002283371082094599,0.000492219965848137,5000,29,block,0,rational quadratic
90,0.9420167110723517,0.8873755491511717,0.02394958833511122,0.00432046961248087,5000,30,pca,0,rational quadratic
91,0.9818944811594479,0.9657276565546565,0.008199919889964458,0.0013147466406106345,5000,30,full,0,rational quadratic
92,0.9941682660520245,0.9863222899298711,0.0027047622477117186,0.000524700722453556,5000,30,block,0,rational quadratic
93,0.9431736370635573,0.8940782097053644,0.02362343124279478,0.0041334241024039015,5000,31,pca,0,rational quadratic
94,0.9832848322668074,0.968682543347264,0.007349147683630395,0.0012221123698375076,5000,31,full,0,rational quadratic
95,0.990572057659259,0.9692184322411145,0.004478514988355797,0.001201200184876406,5000,31,block,0,rational quadratic
96,0.9245263431970807,0.8707314317248048,0.030054537292426797,0.0050020907994130755,5000,32,pca,0,rational quadratic
97,0.979282393057275,0.9622719117952777,0.008916754237257013,0.00145990108350646,5000,32,full,0,rational quadratic
98,0.9929215514750211,0.9897876457503937,0.0033423438207185185,0.0003951704881851396,5000,32,block,0,rational quadratic
99,0.9330306487221338,0.8668741647928446,0.027297697093995568,0.005091574390567134,5000,33,pca,0,rational quadratic
100,0.9829904674836855,0.9584094476863906,0.006934129967096755,0.0015906859154723569,5000,33,full,0,rational quadratic
101,0.9936395185589317,0.9870879328195419,0.002955554266098757,0.000493839159641713,5000,33,block,0,rational quadratic
102,0.9425171456972378,0.8926251773695209,0.02382205189149143,0.004174459791575133,5000,34,pca,0,rational quadratic
103,0.9866998475256622,0.9704388732955584,0.005850865865152395,0.0011492613612599397,5000,34,full,0,rational quadratic
104,0.9930687501316946,0.9871584820345519,0.0032829543726191376,0.0004992455316460377,5000,34,block,0,rational quadratic
105,0.9538260652108415,0.9047903911202513,0.019426523227801213,0.003630376229900663,5000,35,pca,0,rational quadratic
106,0.9816896479033144,0.966950685866024,0.00782083060123054,0.001260182095675292,5000,35,full,0,rational quadratic
107,0.9883081514845894,0.9752095698224104,0.005233473359404251,0.0009452679147059952,5000,35,block,0,rational quadratic
108,0.9336455989032092,0.8767556499271182,0.02676424996590875,0.004651956310986631,5000,36,pca,0,rational quadratic
109,0.980572563733649,0.9613115815171259,0.008359514536130293,0.001460325219103893,5000,36,full,0,rational quadratic
110,0.9878381680953088,0.9727333877896513,0.005522990726693943,0.0010292000296658371,5000,36,block,0,rational quadratic
111,0.9291009517630354,0.8851204684125226,0.02867495156804083,0.004344959117686664,5000,37,pca,0,rational quadratic
112,0.9839346978316672,0.9663499280319485,0.007139383302360837,0.0012727087670710438,5000,37,full,0,rational quadratic
113,0.9901957447002322,0.9762240327626774,0.004373210600426679,0.0008992516264828243,5000,37,block,0,rational quadratic
114,0.9443687520449795,0.8961767970559575,0.023035707468839168,0.004055498321455625,5000,38,pca,0,rational quadratic
115,0.9705532628916783,0.9503858237060047,0.012424629749559801,0.0019380081039220862,5000,38,full,0,rational quadratic
116,0.9891698336896115,0.9738879529511022,0.005202750618900447,0.0010199778081750274,5000,38,block,0,rational quadratic
117,0.9438785529659001,0.9006363936446459,0.0234039096984342,0.003851692764373737,5000,39,pca,0,rational quadratic
118,0.9867193545263434,0.9703167953017126,0.005467530756342746,0.0011506283734402476,5000,39,full,0,rational quadratic
119,0.9891064073287869,0.9782212838084828,0.0049068897383266865,0.0008442218096655821,5000,39,block,0,rational quadratic
120,0.9470512034847212,0.9041152362854075,0.022188426016375495,0.0037221719208719462,5000,40,pca,0,rational quadratic
121,0.9847279522551059,0.9664679535957159,0.006543007816209474,0.0013016879506207348,5000,40,full,0,rational quadratic
122,0.9863080286252921,0.9716038666751768,0.005449431740008699,0.0011023158010547126,5000,40,block,0,rational quadratic
123,0.9355783253185986,0.8813796912839027,0.026054166899620864,0.004625411691324534,5000,41,pca,0,rational quadratic
124,0.9814758619917864,0.9612136043228252,0.008332534064835478,0.0015124142735028778,5000,41,full,0,rational quadratic
125,0.989279398347331,0.9840190671479148,0.004643369835799225,0.0006231512500040932,5000,41,block,0,rational quadratic
126,0.9287331122638136,0.8731801038711533,0.028889983434702993,0.004946794344059279,5000,42,pca,0,rational quadratic
127,0.981651441723184,0.9631055692085556,0.007998366831465358,0.0014391208882632886,5000,42,full,0,rational quadratic
128,0.9903780046130889,0.980665172937887,0.00429878688271836,0.0007541830270626522,5000,42,block,0,rational quadratic
