,r2_true,r2_samp,mse_true,mse_samp,n_samples,trial,method,dataset,kernel
0,0.6247409034275094,0.6689464087503205,0.054239402426707974,0.010720693505141434,500,0,pca,2,gamma-exponential
1,0.4909005098034711,0.2529659503599321,0.06814388524816802,0.024191621223210433,500,0,full,2,gamma-exponential
2,0.8804767716656962,0.9251254822501829,0.014986064827014865,0.002424703363316371,500,0,block,2,gamma-exponential
3,0.7199043097033725,0.6916738924881455,0.05345992915881398,0.009960557901284448,500,1,pca,2,gamma-exponential
4,0.538741151833803,0.23023601224499302,0.0806941623823323,0.024867432836716784,500,1,full,2,gamma-exponential
5,0.82824751476601,0.8601680078389979,0.02276477087428057,0.004517310148048567,500,1,block,2,gamma-exponential
6,0.7402344376395313,0.7319216422597623,0.04807408670835272,0.008744120240780843,500,2,pca,2,gamma-exponential
7,0.5076175454593145,0.2585012160004643,0.06828802333051631,0.024186042395736188,500,2,full,2,gamma-exponential
8,0.940498419238529,0.9287952027517588,0.007712240160404872,0.002322542237677953,500,2,block,2,gamma-exponential
9,0.6369245603957466,0.6195004762110846,0.048334254696398175,0.012352529885270002,500,3,pca,2,gamma-exponential
10,0.5113484810532546,-0.27540088005080476,0.06906481844034158,0.04140459186295092,500,3,full,2,gamma-exponential
11,0.9497848434806032,0.9337228881961765,0.006344747735570946,0.0021516189983992818,500,3,block,2,gamma-exponential
12,0.6690108930378411,0.6860122875272228,0.05664698805042644,0.009700298487678408,500,4,pca,2,gamma-exponential
13,0.3861090106750984,-0.7752846869391867,0.10146203887912326,0.05484543082369145,500,4,full,2,gamma-exponential
14,0.9087764458371609,0.9054487744467273,0.01103181768341896,0.00292105414896473,500,4,block,2,gamma-exponential
15,0.7139205266405314,0.7187778142357684,0.05275630004000469,0.009153658022535606,500,5,pca,2,gamma-exponential
16,0.5248670019704047,0.05198071917988489,0.07275945695225006,0.030857609159871662,500,5,full,2,gamma-exponential
17,0.9179327086748893,0.9135922729527375,0.011099795904731195,0.00281253337728606,500,5,block,2,gamma-exponential
18,0.7411541781980174,0.6904450861037532,0.04371369471990228,0.010043219049706257,500,6,pca,2,gamma-exponential
19,0.427356573760536,-0.2578453500023363,0.08577005034494561,0.040809613459930505,500,6,full,2,gamma-exponential
20,0.9299513472003048,0.9188065870340372,0.009191855940252415,0.0026342441848096,500,6,block,2,gamma-exponential
