,r2_true,r2_samp,mse_true,mse_samp,n_samples,trial,method,dataset,kernel
0,0.6910466199822017,0.5420469553300535,0.06363403421148406,0.011279705895212584,200,0,pca,1,gamma-exponential
1,0.5565205345481199,-0.05094028635015624,0.12874392771228,0.025885399128646094,200,0,full,1,gamma-exponential
2,0.5896325178623113,0.5739864645697151,0.07838959833088194,0.010493013296803376,200,0,block,1,gamma-exponential
3,0.6668445485503417,0.5149593009202289,0.06428864323413826,0.01370146204025235,200,1,pca,1,gamma-exponential
4,0.5093046228104156,0.21095829205910221,0.12467949452618887,0.022288902828234793,200,1,full,1,gamma-exponential
5,0.7340076018219691,0.4658894099905644,0.03606833989161004,0.015087591594262307,200,1,block,1,gamma-exponential
6,0.6851156969888862,0.5260075509884885,0.05645975899686351,0.013590189763634691,200,2,pca,1,gamma-exponential
7,0.42620674582975354,0.005218407182307372,0.1713744600256734,0.028522122341731414,200,2,full,1,gamma-exponential
8,0.7132380420523899,0.3876172852727938,0.03987558613896688,0.017558079919771846,200,2,block,1,gamma-exponential
9,0.6448424511510235,0.3652092485005488,0.08099108337577697,0.017535894056707933,200,3,pca,1,gamma-exponential
10,0.48419737369764687,-0.12958508670023017,0.1382150028715633,0.031204431321065977,200,3,full,1,gamma-exponential
11,0.4420019713078788,0.39519491857050726,0.19957739053461268,0.01670754938986437,200,3,block,1,gamma-exponential
12,0.674324475933457,0.5198802752621409,0.06256628352487846,0.012627782617345075,200,4,pca,1,gamma-exponential
13,0.5718624036353795,0.38860292788551565,0.1051883005578551,0.016080550166436773,200,4,full,1,gamma-exponential
14,0.7407035448864008,0.30320270038046404,0.03963248267140681,0.018326688895676468,200,4,block,1,gamma-exponential
15,0.6959362795951934,0.4527342946620153,0.060166372235054284,0.015494145098785399,200,5,pca,1,gamma-exponential
16,0.391537926557064,-0.32518320415232616,0.239841603123511,0.03751848626240671,200,5,full,1,gamma-exponential
17,0.7361291834446279,0.39740051733134396,0.03679269689842234,0.01706075080139528,200,5,block,1,gamma-exponential
18,0.642083565358807,0.4929936587391054,0.0760917309982402,0.014751475196988344,200,6,pca,1,gamma-exponential
19,0.45104610198710904,-0.08811338861483908,0.1567898616440843,0.03165892880894579,200,6,full,1,gamma-exponential
20,0.5556734814299865,0.4124560565730945,0.12264235590641936,0.0170947366990481,200,6,block,1,gamma-exponential
21,0.6270929145491134,0.5190296358625115,0.07568544905277297,0.011876616502004902,200,7,pca,1,gamma-exponential
22,0.4819799743056688,-0.06889132587246616,0.13837848666053168,0.026394167512736686,200,7,full,1,gamma-exponential
23,0.7035040678993054,0.33914471944663294,0.03942880456782591,0.016318520465459677,200,7,block,1,gamma-exponential
24,0.6730421121403558,0.5677832574649289,0.06635215454605593,0.01224557577686831,200,8,pca,1,gamma-exponential
25,0.5538678677843493,0.1533431828324825,0.11518311210591949,0.023987502545174327,200,8,full,1,gamma-exponential
26,0.7156358898627104,0.497665344763599,0.04422150849609468,0.014232158268476212,200,8,block,1,gamma-exponential
27,0.679436611773735,0.43057341360990864,0.06858204042826631,0.015226793937963064,200,9,pca,1,gamma-exponential
28,0.3849200140253479,-0.41437628105165425,0.19484835895199779,0.03782123402218936,200,9,full,1,gamma-exponential
29,0.7252058435405534,0.26879020881603954,0.03734493914544011,0.01955296974516698,200,9,block,1,gamma-exponential
30,0.6612842702236753,0.3901869482891973,0.06968592993344754,0.016433443188591194,200,10,pca,1,gamma-exponential
31,0.4964487356146961,-0.26564486457275627,0.13719141882090394,0.03410701512625584,200,10,full,1,gamma-exponential
32,0.6985838678529254,0.42065240130089576,0.04340816481541832,0.015612450115586466,200,10,block,1,gamma-exponential
33,0.6642363450419362,0.4766857251999981,0.06778923448890657,0.015705062975011338,200,11,pca,1,gamma-exponential
34,0.47994901742612733,-0.1421664302042962,0.15066265770822426,0.03427729106215908,200,11,full,1,gamma-exponential
35,0.721191607260261,0.4793296142634139,0.03778271550657963,0.01562571783531348,200,11,block,1,gamma-exponential
36,0.6672708432567878,0.4897686182467952,0.06905748633685262,0.012650516706293422,200,12,pca,1,gamma-exponential
37,0.4406435433975788,-0.1805879022756578,0.160047462169113,0.029271125836415304,200,12,full,1,gamma-exponential
38,0.7167564451757181,0.2665685452704982,0.04009741040139434,0.018184469248237044,200,12,block,1,gamma-exponential
39,0.6731525572499777,0.4906908808059224,0.06840576070158003,0.013246813092062928,200,13,pca,1,gamma-exponential
40,0.46029119595083373,-0.147592356492946,0.15662581861354566,0.02984816269615868,200,13,full,1,gamma-exponential
