,r2_true,r2_samp,mse_true,mse_samp,n_samples,trial,method,dataset,kernel
0,0.6167351907303055,0.542566571199002,0.055756717146412504,0.023257770190087547,500,0,pca,2,matern
1,0.5338622420587189,0.3890403014538042,0.05884142429630487,0.03106366821821043,500,0,full,2,matern
2,0.9730533240995459,0.9679746759350812,0.0037078605939604025,0.0016282973225574982,500,0,block,2,matern
3,0.7244051272900524,0.7376880466039542,0.05658278117686702,0.013514230392905006,500,1,pca,2,matern
4,0.6001697412777579,0.35824109744462684,0.06881208915900609,0.03306321939792289,500,1,full,2,matern
5,0.9771689505862121,0.9734119103732637,0.0030941508202316525,0.0013698101221503052,500,1,block,2,matern
6,0.7398199070096756,0.7185513473770155,0.05221279396732748,0.01457018316558731,500,2,pca,2,matern
7,0.5785066615454293,0.3786241043971973,0.05690339757607302,0.032167717021340386,500,2,full,2,matern
8,0.9822248806865731,0.974736826342539,0.0025024672502017868,0.001307837376739276,500,2,block,2,matern
9,0.6437914536211248,0.7113602022250372,0.049551028604703416,0.01444957797257975,500,3,pca,2,matern
10,0.5840874496451645,0.23839351528181163,0.05618122607565713,0.038126732246180975,500,3,full,2,matern
11,0.9797995596898353,0.9586837432083394,0.002716697098755159,0.002068330419603743,500,3,block,2,matern
12,0.6699526893482891,0.7007419006306016,0.06109207470112019,0.014721506267286907,500,4,pca,2,matern
13,0.5021266899269282,0.03140678760947768,0.08801677603353934,0.04764833792871689,500,4,full,2,matern
14,0.969823265111155,0.9684607883425989,0.003615599711142961,0.00155151925063385,500,4,block,2,matern
15,0.7162920279073163,0.7027137979431679,0.05690628945196611,0.01524779947870529,500,5,pca,2,matern
16,0.6102192208900715,0.2822671275672458,0.06408122139903304,0.036812495307258386,500,5,full,2,matern
17,0.9767331238735252,0.9623254306743535,0.004072232175495839,0.0019323274156337077,500,5,block,2,matern
18,0.7466837801691787,0.672544979694571,0.04623734071370895,0.01679385777182502,500,6,pca,2,matern
19,0.4841688389129804,-0.05715974008061564,0.07573866063001065,0.054217493139832686,500,6,full,2,matern
20,0.9399809127105394,0.9556209972956125,0.008416850061881323,0.0022760214785461524,500,6,block,2,matern
21,0.7377712917393179,0.7541918032214106,0.0543930996110809,0.011531406883679884,500,7,pca,2,matern
22,0.6617817438420307,0.5697857310418311,0.06259828995523599,0.020182304119785364,500,7,full,2,matern
23,0.9726457323259491,0.9623241442474507,0.004014370716572523,0.001767457831216309,500,7,block,2,matern
24,0.7398774118185076,0.7364166730320472,0.049795893547153934,0.012501803830599597,500,8,pca,2,matern
25,0.45785348372047147,0.23217336784544385,0.07911969318156555,0.03641815300507728,500,8,full,2,matern
26,0.9556778507765401,0.9593847266866925,0.006290422675886725,0.0019263895988037695,500,8,block,2,matern
27,0.7379542403739393,0.7241921567904045,0.05510026610301192,0.014067849694276867,500,9,pca,2,matern
28,0.5634277487006479,0.14111251597119723,0.06127959582314607,0.04380839895271136,500,9,full,2,matern
29,0.9629936618231696,0.9675204212364459,0.004447228300700114,0.0016566527871793681,500,9,block,2,matern
30,0.7369955453337264,0.6977033446819314,0.053570358463952944,0.015873827667079444,500,10,pca,2,matern
31,0.6907815327485198,0.20065817280614862,0.05863200599186954,0.04197404830236369,500,10,full,2,matern
32,0.95516875619643,0.9641790293842873,0.005195687105405764,0.0018809864562446372,500,10,block,2,matern
33,0.7324047030097937,0.7275075813208486,0.056153954468604717,0.014419581348390676,500,11,pca,2,matern
34,0.5565714673193055,0.045758267369313876,0.085913558606363,0.05049596005787963,500,11,full,2,matern
35,0.9712228410490705,0.9640869454456743,0.0035067370872450387,0.0019004242911618008,500,11,block,2,matern
36,0.7036209801659324,0.7395304389721107,0.05550008012270152,0.014032727005676182,500,12,pca,2,matern
37,0.6159040163971766,0.5002942970793176,0.050808747756841466,0.02692150931031299,500,12,full,2,matern
38,0.9631093339016524,0.9793588442785393,0.004992332925603892,0.0011120366701500902,500,12,block,2,matern
39,0.5995082707209773,0.5730391497895329,0.06506433338261149,0.02056252021226929,500,13,pca,2,matern
40,0.536035455815555,0.3479267717954504,0.07790730881881239,0.03140397750338522,500,13,full,2,matern
41,0.9754662200280036,0.9752031827253234,0.0031525511803895405,0.0011942196952229758,500,13,block,2,matern
42,0.7307492878758621,0.6625675594612429,0.055304307817816235,0.017318168644363065,500,14,pca,2,matern
43,0.5887023409904709,0.19652467757657865,0.06375532436138928,0.041237058040703024,500,14,full,2,matern
44,0.9623641817686601,0.9335756030820396,0.0060626083841878705,0.0034091236340188843,500,14,block,2,matern
45,0.7635501353891807,0.7285128455805143,0.044683742079328924,0.013879975186784936,500,15,pca,2,matern
46,0.5501090965242694,-0.1751970895995516,0.07252629126660269,0.060082792786651636,500,15,full,2,matern
47,0.9000700093642688,0.9645457022423412,0.013190554335825217,0.0018126263623538456,500,15,block,2,matern
48,0.7000464025927342,0.6718255699432405,0.05341760648713745,0.016950365714493678,500,16,pca,2,matern
49,0.4714635095421369,-0.3223869311339853,0.08056895666974172,0.06830191521902311,500,16,full,2,matern
50,0.9172883244556829,0.956117317513353,0.011570583438635774,0.0022665614641366873,500,16,block,2,matern
51,0.5861898038947345,0.5457174782841261,0.06156380804315712,0.02425374555177135,500,17,pca,2,matern
52,0.4846349135963006,0.5492002645661023,0.06396904514319407,0.024067802645636207,500,17,full,2,matern
53,0.9581325997726186,0.968562283121033,0.005993997053320643,0.0016784321418114782,500,17,block,2,matern
54,0.7437158153526079,0.6976307924943712,0.05509952571519697,0.014448089095205762,500,18,pca,2,matern
