,r2,mse,f,n_attributes,trial,method
45,0.25394936122167355,4.498135745529408,sin,1000,14,IKD
46,0.9916866058908232,0.050123642103432064,sin,1000,14,IKD-b
47,0.891284654725357,0.6501818331295532,sin,1000,9,Laplacian eigenmaps
50,0.5817697791371899,2.0231171137488917,sin,1000,10,PCA
51,0.33768641811283173,3.813587267577555,sin,1000,16,IKD
52,0.9920474971612058,0.045790339200029305,sin,1000,16,IKD-b
33,0.3754504560631132,3.021151527778411,sin,1000,10,IKD
34,0.9932147592626864,0.03282244077973528,sin,1000,10,IKD-b
55,0.9943015356714955,0.03705650503377027,sin,1000,17,IKD-b
56,0.6142303701898717,1.953245839519178,sin,1000,11,kernel PCA
57,0.43108480109979963,3.2985716500961644,sin,1000,18,IKD
60,0.32346863967868533,3.6604910453472823,sin,1000,19,IKD
61,0.9908073310973734,0.04973854010984108,sin,1000,19,IKD-b
62,0.7897389743898756,1.0786472506705667,sin,1000,12,Laplacian eigenmaps
39,0.4729527252791318,2.703773046866111,sin,1000,12,IKD
65,0.5563864953776452,2.62452026242073,sin,1000,13,PCA
66,0.3943511437126853,3.207843633485943,sin,1000,21,IKD
67,0.9920131958902535,0.04230243060707677,sin,1000,21,IKD-b
43,0.9960670741214215,0.02326810061320237,sin,1000,13,IKD-b
70,0.9938692317338466,0.040163838710970255,sin,1000,22,IKD-b
71,0.5331161894701713,2.814965429950132,sin,1000,14,kernel PCA
72,0.2784364742470469,4.658728811004264,sin,1000,23,IKD
75,0.29159849615644673,4.368637767808969,sin,1000,24,IKD
76,0.993115000392652,0.042459070389908635,sin,1000,24,IKD-b
77,0.901013244611914,0.577822774573227,sin,1000,15,Laplacian eigenmaps
48,0.5461229730373802,2.6494502421700137,sin,1000,15,IKD
49,0.9938152958735829,0.03610243495940423,sin,1000,15,IKD-b
80,0.5189278405978295,2.770003080194574,sin,1000,16,PCA
81,0.26594566396558894,5.1854314634777054,sin,1000,26,IKD
82,0.9890762544859292,0.07716640432055263,sin,1000,26,IKD-b
85,0.99555487624119,0.023953822091257307,sin,1000,27,IKD-b
86,0.5029206684368164,3.2324538139362504,sin,1000,17,kernel PCA
87,0.32889635645410364,3.7993344105832745,sin,1000,28,IKD
54,0.32272465898492186,4.404249221677581,sin,1000,17,IKD
90,0.21149690730380788,5.143838376524186,sin,1000,29,IKD
91,0.9948848169161945,0.033369146288895965,sin,1000,29,IKD-b
92,0.8521162887863035,0.8574301025240822,sin,1000,18,Laplacian eigenmaps
58,0.9904457834663034,0.05539536974553555,sin,1000,18,IKD-b
95,0.49230670153918643,2.7469632330362237,sin,1000,19,PCA
96,0.18287616563630804,4.1641896161072784,sin,1000,31,IKD
97,0.9930546793518026,0.03539442971490465,sin,1000,31,IKD-b
100,0.994062656691759,0.03301944003391405,sin,1000,32,IKD-b
101,0.42870358345786663,3.96966522341731,sin,1000,20,kernel PCA
102,0.15829841428325264,4.372866211345094,sin,1000,33,IKD
63,0.28670155526024466,4.95636931724432,sin,1000,20,IKD
64,0.9844649527187717,0.10794560433215614,sin,1000,20,IKD-b
105,0.4664547497208209,2.613080592517197,sin,1000,34,IKD
106,0.996807729155624,0.015634402115158326,sin,1000,34,IKD-b
107,0.886171913962272,0.6028950559675377,sin,1000,21,Laplacian eigenmaps
110,0.4722720911456698,3.4572467420631434,sin,1000,22,PCA
111,0.30601836981549724,3.2667866128281884,sin,1000,36,IKD
112,0.9946426520706151,0.02521869705877424,sin,1000,36,IKD-b
69,0.13007755374440377,5.699028784916767,sin,1000,22,IKD
115,0.9941742580901073,0.03293591773135019,sin,1000,37,IKD-b
116,0.5069075016425336,3.1836202172094055,sin,1000,23,kernel PCA
117,0.3294078707864576,3.6223564068453866,sin,1000,38,IKD
73,0.9929091661833739,0.04578151557908661,sin,1000,23,IKD-b
120,0.3776879835304344,3.105435388103444,sin,1000,39,IKD
121,0.993827508162571,0.0308017105205119,sin,1000,39,IKD-b
122,0.8772504719629298,0.7569834638322539,sin,1000,24,Laplacian eigenmaps
125,0.5164269763795093,2.7751829436798183,sin,1000,25,PCA
126,0.41809773675830597,2.9727353078161776,sin,1000,41,IKD
127,0.9937393897926254,0.031983269678754624,sin,1000,41,IKD-b
78,0.35283639136500167,3.71401488653683,sin,1000,25,IKD
79,0.9947038343949891,0.030394227419651965,sin,1000,25,IKD-b
130,0.9933297219809126,0.02951040550524273,sin,1000,42,IKD-b
131,0.43221496983974705,4.010888861157268,sin,1000,26,kernel PCA
132,0.07274431095633127,5.527369483477088,sin,1000,43,IKD
135,0.02600831743538501,5.273796208317114,sin,1000,44,IKD
136,0.99567148650867,0.023437261782480744,sin,1000,44,IKD-b
137,0.8561072958793114,0.7754070351597127,sin,1000,27,Laplacian eigenmaps
84,0.0011888929102609191,5.382379627694348,sin,1000,27,IKD
140,0.44042633446658697,3.1679271945003467,sin,1000,28,PCA
141,0.13799483600751128,4.590757512724643,sin,1000,46,IKD
142,0.9950148271270738,0.026549399904542133,sin,1000,46,IKD-b
88,0.9908519704502897,0.0517899489765917,sin,1000,28,IKD-b
145,0.992174364601031,0.04223147528222002,sin,1000,47,IKD-b
146,0.5196600699649081,3.133520957340667,sin,1000,29,kernel PCA
147,0.3931902688029094,3.2816394323159424,sin,1000,48,IKD
150,0.3431035580017182,3.759672825661828,sin,1000,49,IKD
151,0.9948366927831604,0.029551607517682273,sin,1000,49,IKD-b
152,0.8647046096323717,0.7672074694278677,sin,1000,30,Laplacian eigenmaps
93,0.3588810255945104,3.635536026906014,sin,1000,30,IKD
94,0.9921755571477463,0.04436936826930412,sin,1000,30,IKD-b
155,0.6256742530529426,1.9076219820369975,sin,1000,31,PCA
156,0.6213379542022306,1.9297204325864596,sin,1000,31,kernel PCA
157,0.8940910233828948,0.5397285480296038,sin,1000,31,Laplacian eigenmaps
160,0.5130103107107744,2.708303361926335,sin,1000,32,PCA
161,0.5109700329360658,2.7196499905676346,sin,1000,32,kernel PCA
162,0.7264297984189887,1.5214102330299797,sin,1000,32,Laplacian eigenmaps
99,0.20123362731626337,4.442191898745257,sin,1000,32,IKD
165,0.5657101899993249,2.256252415713664,sin,1000,33,PCA
166,0.5619147494218923,2.2759707507386473,sin,1000,33,kernel PCA
167,0.8113735968169707,0.9799649175476343,sin,1000,33,Laplacian eigenmaps
103,0.9941050565381148,0.030625817415226277,sin,1000,33,IKD-b
170,0.6082682779358526,1.9185374808669908,sin,1000,34,PCA
171,0.6149150743824441,1.8859842629573338,sin,1000,34,kernel PCA
172,0.878930608298547,0.5929470417689805,sin,1000,34,Laplacian eigenmaps
175,0.5393632258198178,2.8354650814367184,sin,1000,35,PCA
176,0.5352257850411068,2.860933236634328,sin,1000,35,kernel PCA
177,0.8412752749130262,0.9770353579471543,sin,1000,35,Laplacian eigenmaps
108,0.35942755492647704,3.9430651262464,sin,1000,35,IKD
109,0.9916017855820486,0.05169548994628225,sin,1000,35,IKD-b
180,0.6834725838621293,1.4899926462857314,sin,1000,36,PCA
181,0.6901755286671685,1.458439807704389,sin,1000,36,kernel PCA
182,0.9101679754992449,0.42286718016484187,sin,1000,36,Laplacian eigenmaps
185,0.5524307948193472,2.530339096533573,sin,1000,37,PCA
186,0.5541561835440884,2.5205845859542118,sin,1000,37,kernel PCA
187,0.8840248835165648,0.6556670299615969,sin,1000,37,Laplacian eigenmaps
114,0.03275978933991741,5.468306783494434,sin,1000,37,IKD
190,0.4529062795925214,2.9552515708573686,sin,1000,38,PCA
191,0.46122275549176583,2.9103282285698087,sin,1000,38,kernel PCA
192,0.6943636723934354,1.650964366027898,sin,1000,38,Laplacian eigenmaps
118,0.9939687628610315,0.032579103660474715,sin,1000,38,IKD-b
195,0.4991966977295378,2.4990876862263147,sin,1000,39,PCA
196,0.49910556751052393,2.4995424404325037,sin,1000,39,kernel PCA
197,0.6949029386723775,1.522482590691709,sin,1000,39,Laplacian eigenmaps
200,0.5429954658443432,2.5533535282377278,sin,1000,40,PCA
201,0.5376463887241066,2.583239632022247,sin,1000,40,kernel PCA
202,0.8231772274809279,0.987935603130298,sin,1000,40,Laplacian eigenmaps
123,0.1452826693773499,4.775435140536149,sin,1000,40,IKD
