,r2,mse,f,n_attributes,trial,method
145,0.4726013903741173,2.889068429650115,Gaussian bump,20,47,IKD-b
146,0.5913367156470253,2.4111828714836294,Gaussian bump,20,29,kernel PCA
147,0.5422559494186056,2.5108053660403966,Gaussian bump,20,48,IKD
150,0.3863380922918556,3.822053464109466,Gaussian bump,20,49,IKD
151,0.766071268725738,1.4439166221736477,Gaussian bump,20,49,IKD-b
152,0.2820892128406368,4.2643066626999175,Gaussian bump,20,30,Laplacian eigenmaps
93,0.5391395041107099,2.7372766556910038,Gaussian bump,20,30,IKD
94,0.4674233793210729,3.170229209275541,Gaussian bump,20,30,IKD-b
155,0.24441585606046862,4.215161383083119,Gaussian bump,20,31,PCA
156,0.6585161861724024,1.85233017545085,Gaussian bump,20,31,kernel PCA
157,0.47267169369486534,2.8620778895897967,Gaussian bump,20,31,Laplacian eigenmaps
160,0.16165145211308263,5.021671589461291,Gaussian bump,20,32,PCA
161,0.5710327626415207,2.506166016690944,Gaussian bump,20,32,kernel PCA
162,0.2325372578730316,4.547825610705338,Gaussian bump,20,32,Laplacian eigenmaps
99,0.41404328100281057,3.3644184746746393,Gaussian bump,20,32,IKD
165,0.20567946057405173,4.206441433540515,Gaussian bump,20,33,PCA
166,0.7276809136877895,1.4425744280693065,Gaussian bump,20,33,kernel PCA
167,0.37700006691548,3.313066435124077,Gaussian bump,20,33,Laplacian eigenmaps
103,0.8161001653496179,0.9689532132238016,Gaussian bump,20,33,IKD-b
170,0.3559287694268047,3.5397342635386533,Gaussian bump,20,34,PCA
171,0.6891529725186977,1.6593861244880577,Gaussian bump,20,34,kernel PCA
172,0.6078856671284834,2.0691320773031,Gaussian bump,20,34,Laplacian eigenmaps
175,0.2397456142629572,4.271333893026542,Gaussian bump,20,35,PCA
176,0.37435267627851376,3.6282076852363447,Gaussian bump,20,35,kernel PCA
177,0.26133786526527064,4.217323230474104,Gaussian bump,20,35,Laplacian eigenmaps
108,0.5379394868328979,2.694130106102529,Gaussian bump,20,35,IKD
109,0.5002685668505211,2.693167320259506,Gaussian bump,20,35,IKD-b
180,0.1507595290358128,4.525735193310721,Gaussian bump,20,36,PCA
181,0.631316986211266,1.9577805090447935,Gaussian bump,20,36,kernel PCA
182,0.32245532868724386,3.6470449639384266,Gaussian bump,20,36,Laplacian eigenmaps
185,0.3011734853140871,4.036018029879763,Gaussian bump,20,37,PCA
186,0.6488754402418278,2.0333781337064005,Gaussian bump,20,37,kernel PCA
187,0.45975913034641447,3.1282343270807518,Gaussian bump,20,37,Laplacian eigenmaps
114,0.6253338294208276,2.171192140054279,Gaussian bump,20,37,IKD
190,0.19716827478298177,4.591968916853197,Gaussian bump,20,38,PCA
191,0.45576887592698445,3.113336667680853,Gaussian bump,20,38,kernel PCA
192,0.3463983061626736,3.729893815883326,Gaussian bump,20,38,Laplacian eigenmaps
118,0.7016180125355977,1.6696204257186802,Gaussian bump,20,38,IKD-b
195,0.25005959188868576,4.057334152380905,Gaussian bump,20,39,PCA
196,0.5105519371058598,2.608938545575386,Gaussian bump,20,39,kernel PCA
197,0.3850202216805182,3.304966340225066,Gaussian bump,20,39,Laplacian eigenmaps
200,0.27747978595818024,4.302230653894824,Gaussian bump,20,40,PCA
201,0.5803273805149118,2.47899025727281,Gaussian bump,20,40,kernel PCA
202,0.3916064294711482,3.604455201461964,Gaussian bump,20,40,Laplacian eigenmaps
123,0.55820609939606,2.6171116835436745,Gaussian bump,20,40,IKD
124,0.8514652410840768,0.8939335195730136,Gaussian bump,20,40,IKD-b
205,0.35791823230506864,3.549413901331193,Gaussian bump,20,41,PCA
206,0.6150787547714859,2.140918054890024,Gaussian bump,20,41,kernel PCA
207,0.4858438937002853,2.8628308681418186,Gaussian bump,20,41,Laplacian eigenmaps
210,0.16369718480433643,4.0555335026283235,Gaussian bump,20,42,PCA
211,0.48680006334806564,2.573995619206154,Gaussian bump,20,42,kernel PCA
212,0.33813160218293936,3.265439729093104,Gaussian bump,20,42,Laplacian eigenmaps
129,0.43652739285052045,2.802671822477655,Gaussian bump,20,42,IKD
215,0.45333684014349174,3.041939807748918,Gaussian bump,20,43,PCA
216,0.696883925439771,1.687237775201512,Gaussian bump,20,43,kernel PCA
217,0.45340574996138244,3.03601155054142,Gaussian bump,20,43,Laplacian eigenmaps
133,0.7817735912716396,1.2423777544423558,Gaussian bump,20,43,IKD-b
220,0.2725401740105497,3.8491616205190047,Gaussian bump,20,44,PCA
221,0.5860499416807362,2.184447511071701,Gaussian bump,20,44,kernel PCA
222,0.5485121480259414,2.371830280688056,Gaussian bump,20,44,Laplacian eigenmaps
225,0.291451105890963,3.740459476092564,Gaussian bump,20,45,PCA
226,0.6283848461638137,1.9534516975864837,Gaussian bump,20,45,kernel PCA
227,0.4324161923547829,2.989083647057442,Gaussian bump,20,45,Laplacian eigenmaps
138,0.5502603289298638,2.3633315033775495,Gaussian bump,20,45,IKD
139,0.6270057811773204,1.970955483602666,Gaussian bump,20,45,IKD-b
230,0.2531838359244005,4.036977636494584,Gaussian bump,20,46,PCA
231,0.6851657371297457,1.7032305786897788,Gaussian bump,20,46,kernel PCA
232,0.593128998624213,2.19700159419768,Gaussian bump,20,46,Laplacian eigenmaps
235,0.22918324487869152,4.202493838826277,Gaussian bump,20,47,PCA
236,0.5268365724754438,2.5822005815561138,Gaussian bump,20,47,kernel PCA
237,0.34335371414830373,3.5809343604711206,Gaussian bump,20,47,Laplacian eigenmaps
144,0.6061117762191506,2.1476696524459236,Gaussian bump,20,47,IKD
240,0.19539415579001906,4.418948347810257,Gaussian bump,20,48,PCA
241,0.5050992579875576,2.707818078264431,Gaussian bump,20,48,kernel PCA
242,0.34294455187275535,3.602517015646561,Gaussian bump,20,48,Laplacian eigenmaps
148,0.404725313114074,3.272935655114024,Gaussian bump,20,48,IKD-b
245,0.24373781586514753,4.652123046278379,Gaussian bump,20,49,PCA
246,0.40698865822558405,3.7029283035969165,Gaussian bump,20,49,kernel PCA
247,0.3368231255327447,4.108532719448516,Gaussian bump,20,49,Laplacian eigenmaps
