,r2,mse,f,n_attributes,trial,method
0,0.7835107776836211,1.219885312930144,GP,500,0,PCA
1,0.8610726783209725,0.7856384645606483,GP,500,0,kernel PCA
2,0.9082848904707918,0.5197028755413517,GP,500,0,Laplacian eigenmaps
3,0.787521724481797,1.2083216349700932,GP,500,0,IKD
4,0.9930194127371608,0.039161465893528126,GP,500,0,IKD-b
5,0.7824524005997987,1.2381326791854648,GP,500,1,PCA
6,0.8463313679592757,0.855811413569897,GP,500,1,IKD
7,0.995400971759366,0.02569448508684749,GP,500,1,IKD-b
10,0.9952984752363109,0.027686561393715947,GP,500,2,IKD-b
11,0.8528631411464994,0.8600575475786082,GP,500,2,kernel PCA
12,0.8784441171960508,0.646716726731512,GP,500,3,IKD
9,0.8140876895112478,1.0677430333483242,GP,500,2,IKD
15,0.7503500608374772,1.5560782490283938,GP,500,4,IKD
16,0.9954338994874327,0.027959502152812524,GP,500,4,IKD-b
17,0.9179877451795102,0.44679406102218183,GP,500,3,Laplacian eigenmaps
13,0.9968908125818263,0.016899980236618792,GP,500,3,IKD-b
20,0.7511090932093601,1.5414651479375856,GP,500,4,PCA
21,0.831662276612323,0.9328110990205118,GP,500,6,IKD
22,0.9980266112191319,0.010895698875686713,GP,500,6,IKD-b
25,0.9962763928246953,0.021497434029866244,GP,500,7,IKD-b
26,0.8515238153309665,0.8176044577605611,GP,500,5,kernel PCA
27,0.8085939581514703,1.1067427397894756,GP,500,8,IKD
18,0.8137089183877775,1.0287917791175596,GP,500,5,IKD
19,0.9923506595869555,0.04126758037841791,GP,500,5,IKD-b
30,0.7920679864458938,1.2916853130446315,GP,500,9,IKD
31,0.9946512250557178,0.033200871265558964,GP,500,9,IKD-b
32,0.8989873824730563,0.5749699461005778,GP,500,6,Laplacian eigenmaps
35,0.8088422154678118,1.0876411581484604,GP,500,7,PCA
36,0.7620657314640985,1.369288970684446,GP,500,11,IKD
37,0.9955040410218304,0.025919923979736303,GP,500,11,IKD-b
24,0.7986603850227998,1.1545610641018116,GP,500,7,IKD
40,0.9899951945836823,0.05438696893901582,GP,500,12,IKD-b
41,0.855967289796566,0.8470772332389626,GP,500,8,kernel PCA
42,0.8382542113086867,0.9232327096741169,GP,500,13,IKD
28,0.9963492260608802,0.020936248609103952,GP,500,8,IKD-b
45,0.8379255390506684,0.9240010314498548,GP,500,14,IKD
46,0.9361415090826521,0.3522710047591686,GP,500,14,IKD-b
47,0.923780336927792,0.47111777493283724,GP,500,9,Laplacian eigenmaps
50,0.7799306552492252,1.2179420370972103,GP,500,10,PCA
51,0.8338876968884007,0.9930133070806737,GP,500,16,IKD
52,0.9945904885044116,0.03211329596075766,GP,500,16,IKD-b
33,0.8180201858102819,1.008409022788982,GP,500,10,IKD
34,0.9953716594326218,0.025873097475214508,GP,500,10,IKD-b
55,0.9942928902786227,0.03371655491926765,GP,500,17,IKD-b
56,0.846112406517785,0.8838313138228401,GP,500,11,kernel PCA
57,0.8646489852815279,0.7719280767336975,GP,500,18,IKD
60,0.8499512954972769,0.8871697539786275,GP,500,19,IKD
61,0.9962525829006204,0.02152838554687316,GP,500,19,IKD-b
62,0.919060588694522,0.435889320240409,GP,500,12,Laplacian eigenmaps
39,0.8157787464732431,1.0086227785577873,GP,500,12,IKD
65,0.797548523667154,1.1731890717505395,GP,500,13,PCA
66,0.7727999864686407,1.2913985786403586,GP,500,21,IKD
67,0.9933000933806134,0.03982589775191348,GP,500,21,IKD-b
43,0.992186045978594,0.045033228293139334,GP,500,13,IKD-b
70,0.9939763915470614,0.03358430505272487,GP,500,22,IKD-b
71,0.8837073899772484,0.6590664312457452,GP,500,14,kernel PCA
72,0.8217981220833416,1.1099545410360125,GP,500,23,IKD
75,0.6618665554584123,2.0798249075133217,GP,500,24,IKD
76,0.9952095301408654,0.029516539549732535,GP,500,24,IKD-b
77,0.929652964509672,0.3913384839844549,GP,500,15,Laplacian eigenmaps
48,0.8678983867841056,0.7307888510735198,GP,500,15,IKD
49,0.9957243471006674,0.023606257494837166,GP,500,15,IKD-b
80,0.8027739589080173,1.1737855802781887,GP,500,16,PCA
81,0.8739001591225802,0.8377234252015091,GP,500,26,IKD
82,0.9903713485321033,0.06414766683762758,GP,500,26,IKD-b
85,0.9946250146441002,0.029666759202970915,GP,500,27,IKD-b
86,0.8360002583882079,0.9913256899979389,GP,500,17,kernel PCA
87,0.6881616327242209,1.7904249101159102,GP,500,28,IKD
54,0.7368888518843898,1.5804661363714774,GP,500,17,IKD
90,0.8021558648611347,1.0737034902992748,GP,500,29,IKD
91,0.9856355354768219,0.08203311163855982,GP,500,29,IKD-b
92,0.9181159482568182,0.4646138772702586,GP,500,18,Laplacian eigenmaps
58,0.9970098486264276,0.0168286639872315,GP,500,18,IKD-b
95,0.8007660913380429,1.157877373760938,GP,500,19,PCA
96,0.8111925198168642,1.0456527760985967,GP,500,31,IKD
97,0.995601028989821,0.0243926593377074,GP,500,31,IKD-b
100,0.993979757018404,0.03473620213708912,GP,500,32,IKD-b
101,0.8450531430648688,0.9889773151873161,GP,500,20,kernel PCA
102,0.7809021484037378,1.1628655058754822,GP,500,33,IKD
63,0.7417193748687124,1.6225397493278486,GP,500,20,IKD
64,0.9949120665204382,0.03251417739620104,GP,500,20,IKD-b
105,0.8166231317979472,1.0106983937074803,GP,500,34,IKD
106,0.98519275544573,0.08204973873148218,GP,500,34,IKD-b
107,0.9011807567819051,0.5455354593809302,GP,500,21,Laplacian eigenmaps
110,0.7677603974064763,1.2947863713147836,GP,500,22,PCA
111,0.740663823517318,1.4791558345380544,GP,500,36,IKD
112,0.9883131636388921,0.06473455142051546,GP,500,36,IKD-b
69,0.7457178630214863,1.3723897452621656,GP,500,22,IKD
115,0.9952415467813612,0.02889720662790905,GP,500,37,IKD-b
116,0.8398270706345775,1.02456829324062,GP,500,23,kernel PCA
117,0.8635394048890274,0.7717648999373189,GP,500,38,IKD
73,0.9951314887924531,0.030747503718313335,GP,500,23,IKD-b
120,0.7746079377255576,1.3119837075829996,GP,500,39,IKD
121,0.9962958807368136,0.021192358307332338,GP,500,39,IKD-b
122,0.9058819932569141,0.5733120938804731,GP,500,24,Laplacian eigenmaps
125,0.788178693303038,1.1838312281325554,GP,500,25,PCA
126,0.7711487380138466,1.2882845485218606,GP,500,41,IKD
127,0.9887656629947599,0.062057161516058355,GP,500,41,IKD-b
78,0.8652630279424773,0.745412683640776,GP,500,25,IKD
79,0.8970757756615901,0.5707924179867151,GP,500,25,IKD-b
130,0.9846720416421847,0.07554886724585748,GP,500,42,IKD-b
131,0.8604731097421167,0.9262679731707388,GP,500,26,kernel PCA
132,0.8103411993458213,1.0703028991264574,GP,500,43,IKD
135,0.5664275977738744,2.446085573531437,GP,500,44,IKD
136,0.9859245271379112,0.07641109491521154,GP,500,44,IKD-b
137,0.9105793987249361,0.4931797931956421,GP,500,27,Laplacian eigenmaps
84,0.8272135800256492,0.9482100855892472,GP,500,27,IKD
140,0.7906817998164822,1.2520127725223553,GP,500,28,PCA
141,0.7717750000314298,1.2719004445887656,GP,500,46,IKD
142,0.9964808475233772,0.019424703517712475,GP,500,46,IKD-b
88,0.9966274137227994,0.019691124523789752,GP,500,28,IKD-b
145,0.9925023252333801,0.042785624618786766,GP,500,47,IKD-b
146,0.860526448517155,0.7815467574402901,GP,500,29,kernel PCA
147,0.7470637506923777,1.379432457728605,GP,500,48,IKD
150,0.8721292752074424,0.7670326825711232,GP,500,49,IKD
151,0.9965779681002426,0.020236788191133392,GP,500,49,IKD-b
152,0.9096346125087914,0.5142448166314995,GP,500,30,Laplacian eigenmaps
93,0.7559319660315426,1.414296798236803,GP,500,30,IKD
94,0.9936893474620413,0.035979629585843886,GP,500,30,IKD-b
155,0.7871780508982011,1.1845894640708579,GP,500,31,PCA
156,0.859527618565647,0.7823338980243836,GP,500,31,kernel PCA
157,0.9149782459601611,0.469848820278388,GP,500,31,Laplacian eigenmaps
160,0.7228238069669235,1.5843732448578718,GP,500,32,PCA
161,0.8284213776973611,0.9880549068330685,GP,500,32,kernel PCA
162,0.9029274633555429,0.5527978003050374,GP,500,32,Laplacian eigenmaps
99,0.7852083607124808,1.2354140725362857,GP,500,32,IKD
165,0.8079153223873735,1.018281681664787,GP,500,33,PCA
166,0.8769043011299295,0.6526248972160283,GP,500,33,kernel PCA
167,0.9155943756703474,0.4479238801800572,GP,500,33,Laplacian eigenmaps
103,0.9914557615459807,0.04537335974552107,GP,500,33,IKD-b
170,0.7623744214560843,1.3102293261239044,GP,500,34,PCA
171,0.8624980118168858,0.7646889523973227,GP,500,34,kernel PCA
172,0.9094344801158792,0.4995348797693238,GP,500,34,Laplacian eigenmaps
175,0.7718240479600875,1.3269259979894945,GP,500,35,PCA
176,0.8405966357146076,0.9273033972023011,GP,500,35,kernel PCA
177,0.9023834399801228,0.556157890140856,GP,500,35,Laplacian eigenmaps
108,0.653470247763952,1.9102136499513787,GP,500,35,IKD
109,0.9973306323704861,0.015335911568388032,GP,500,35,IKD-b
180,0.7636408740876534,1.3296418747358485,GP,500,36,PCA
181,0.8726793415342557,0.7086193778994051,GP,500,36,kernel PCA
182,0.9233431056743836,0.4182117840389579,GP,500,36,Laplacian eigenmaps
185,0.8238686269108569,1.0630323074519605,GP,500,37,PCA
186,0.8874933037536659,0.6808735201125621,GP,500,37,kernel PCA
187,0.9226233996164241,0.46396744312620236,GP,500,37,Laplacian eigenmaps
114,0.8771354210184925,0.7367072168055814,GP,500,37,IKD
190,0.7865090515251466,1.22293696783437,GP,500,38,PCA
191,0.8624388311360298,0.7855399841242307,GP,500,38,kernel PCA
192,0.9133725768127018,0.49468151375100683,GP,500,38,Laplacian eigenmaps
118,0.9964764269169272,0.0204088527487507,GP,500,38,IKD-b
195,0.7962947193809078,1.1494608708135203,GP,500,39,PCA
196,0.8716502593343374,0.7253568895982677,GP,500,39,kernel PCA
197,0.9222007666300346,0.4382440458230064,GP,500,39,Laplacian eigenmaps
200,0.8117314746128574,1.047949003082407,GP,500,40,PCA
201,0.8810228279113043,0.6638113629431822,GP,500,40,kernel PCA
202,0.9129966268150697,0.4765437075716452,GP,500,40,Laplacian eigenmaps
123,0.7673977923568854,1.2632670960291652,GP,500,40,IKD
124,0.9890065200835307,0.05987652626238992,GP,500,40,IKD-b
205,0.7802892123974267,1.214718461231122,GP,500,41,PCA
206,0.8561544944045348,0.795022622813916,GP,500,41,kernel PCA
207,0.9123428713765639,0.48268807244295914,GP,500,41,Laplacian eigenmaps
210,0.8122238080472316,0.938713830746364,GP,500,42,PCA
211,0.879710601815279,0.599037553233559,GP,500,42,kernel PCA
212,0.9132943973823618,0.43037306785879675,GP,500,42,Laplacian eigenmaps
129,0.8548594477466621,0.7083611189815148,GP,500,42,IKD
215,0.8013006020860791,1.1267003069739983,GP,500,43,PCA
216,0.8591250452944715,0.798502328945749,GP,500,43,kernel PCA
217,0.9246919696227476,0.42815471766709967,GP,500,43,Laplacian eigenmaps
133,0.9941716023629322,0.03295415632589583,GP,500,43,IKD-b
220,0.7448956139806159,1.3938029403388008,GP,500,44,PCA
221,0.8735547118550033,0.6915308226526672,GP,500,44,kernel PCA
222,0.9072427833346531,0.5103498373379662,GP,500,44,Laplacian eigenmaps
225,0.7866023791273408,1.1840541803209934,GP,500,45,PCA
226,0.8621447677383638,0.7671663489564945,GP,500,45,kernel PCA
227,0.8965525104349207,0.5677038334649928,GP,500,45,Laplacian eigenmaps
138,0.8042186849968327,1.0940989812579989,GP,500,45,IKD
139,0.9967014926847177,0.018164664082766815,GP,500,45,IKD-b
230,0.8154700574704051,1.0205000520659564,GP,500,46,PCA
231,0.8754366303207455,0.6894640261622446,GP,500,46,kernel PCA
232,0.9182627505266135,0.44951719978156507,GP,500,46,Laplacian eigenmaps
235,0.7876600204712615,1.2373634770448863,GP,500,47,PCA
236,0.845551298733759,0.903373655032024,GP,500,47,kernel PCA
237,0.9078282248662708,0.5264325481793605,GP,500,47,Laplacian eigenmaps
144,0.8616273832791667,0.8131325907464649,GP,500,47,IKD
240,0.7675547748355437,1.2634811661942902,GP,500,48,PCA
241,0.8472190462087399,0.8309464971148562,GP,500,48,kernel PCA
242,0.8983076231268566,0.5523949276723382,GP,500,48,Laplacian eigenmaps
148,0.9869375916792329,0.07123053272875003,GP,500,48,IKD-b
245,0.7787419716029627,1.3143896797863923,GP,500,49,PCA
246,0.8528323842079305,0.8754002903477233,GP,500,49,kernel PCA
247,0.9083946996617133,0.5399668368995147,GP,500,49,Laplacian eigenmaps
