,r2,mse,f,n_attributes,trial,method
0,0.7193988823404615,1.5869203283718216,GP,50,0,PCA
1,0.738144344257632,1.4776238971819504,GP,50,0,kernel PCA
2,0.8150857035492761,1.0416913951006739,GP,50,0,Laplacian eigenmaps
3,0.5823016656894725,2.3305919897756566,GP,50,0,IKD
4,0.8871115059940283,0.6410366141336117,GP,50,0,IKD-b
5,0.703373945853048,1.6384569030830127,GP,50,1,PCA
6,0.48598806493241353,2.767536038894438,GP,50,1,IKD
7,0.9054386041444044,0.527924407956216,GP,50,1,IKD-b
10,0.9261061575487238,0.4329957390361261,GP,50,2,IKD-b
11,0.6820686937326559,1.8660597538685437,GP,50,2,kernel PCA
12,0.5779640573342779,2.2486765761587377,GP,50,3,IKD
9,0.596556422696783,2.3727199483796784,GP,50,2,IKD
15,0.5195281493500622,2.986880964569474,GP,50,4,IKD
16,0.8870620225940969,0.7003906069905527,GP,50,4,IKD-b
17,0.8592480021680265,0.7504910313036395,GP,50,3,Laplacian eigenmaps
13,0.9399022465118249,0.3331391522897904,GP,50,3,IKD-b
20,0.6094808439434262,2.4149008095303617,GP,50,4,PCA
21,0.5346631095082751,2.602461421983854,GP,50,6,IKD
22,0.9477427347732199,0.29317415575162803,GP,50,6,IKD-b
25,0.9390661094569256,0.3464715682009236,GP,50,7,IKD-b
26,0.5759605739617696,2.25461823432018,GP,50,5,kernel PCA
27,0.5031767615027799,3.0280977035553804,GP,50,8,IKD
18,0.48346670926158214,2.7111935276961123,GP,50,5,IKD
19,0.95299993925085,0.2505717544924587,GP,50,5,IKD-b
30,0.38886394857193834,3.767347876187731,GP,50,9,IKD
31,0.951501555382531,0.2988779092957082,GP,50,9,IKD-b
32,0.7856666574007155,1.1997055629186784,GP,50,6,Laplacian eigenmaps
35,0.7342332045234462,1.5072060771859903,GP,50,7,PCA
36,0.4949480071347494,2.909271690222374,GP,50,11,IKD
37,0.8958147377498213,0.5796842582324206,GP,50,11,IKD-b
24,0.7068884095394745,1.74579708688347,GP,50,7,IKD
40,0.9465072774895796,0.28785906514650983,GP,50,12,IKD-b
41,0.6599990067096932,2.0193662112208206,GP,50,8,kernel PCA
42,0.5745882467224208,2.4330553135396817,GP,50,13,IKD
28,0.9552028941385416,0.26178663815821884,GP,50,8,IKD-b
45,0.7042022021008135,1.6677652939989638,GP,50,14,IKD
46,0.9637689657425342,0.20431278920530924,GP,50,14,IKD-b
47,0.8525936809364874,0.9095704064471611,GP,50,9,Laplacian eigenmaps
50,0.6100758501830347,2.1461562264979386,GP,50,10,PCA
51,0.5425718860880122,2.7579484646047945,GP,50,16,IKD
52,0.9357303831809016,0.38001130410002304,GP,50,16,IKD-b
33,0.5814810543006825,2.313271532007524,GP,50,10,IKD
34,0.9538661631975393,0.25218096774828025,GP,50,10,IKD-b
55,0.8924074908655933,0.6381556208258495,GP,50,17,IKD-b
56,0.6096394919786787,2.2614824699512255,GP,50,11,kernel PCA
57,0.5405067172589324,2.642242277343584,GP,50,18,IKD
60,0.5885131322064429,2.3730885545322384,GP,50,19,IKD
61,0.951507447178224,0.2820245086399386,GP,50,19,IKD-b
62,0.8552878527754454,0.778082276711272,GP,50,12,Laplacian eigenmaps
39,0.5280944760867428,2.53299642157049,GP,50,12,IKD
65,0.545267499042633,2.5849987062772635,GP,50,13,PCA
66,0.46743739309212406,2.9454609547948842,GP,50,21,IKD
67,0.9667459236046546,0.18473173110603622,GP,50,21,IKD-b
43,0.9484264850350351,0.29676180520880974,GP,50,13,IKD-b
70,0.9031553897612729,0.5370024325595529,GP,50,22,IKD-b
71,0.7888018164636543,1.2196821131916644,GP,50,14,kernel PCA
72,0.6177990424579388,2.404191491791602,GP,50,23,IKD
75,0.45349028817627185,3.3899624296551494,GP,50,24,IKD
76,0.9453838804068565,0.3339145530356598,GP,50,24,IKD-b
77,0.8819934200847873,0.6558850389934807,GP,50,15,Laplacian eigenmaps
48,0.6823828009507439,1.7422504877694902,GP,50,15,IKD
49,0.9596699278408162,0.22504630229932135,GP,50,15,IKD-b
80,0.694025047678084,1.8146206332757708,GP,50,16,PCA
81,0.6563837129114588,2.2731368121383135,GP,50,26,IKD
82,0.9142464482872178,0.569184419253766,GP,50,26,IKD-b
85,0.936022318979631,0.3533469266118341,GP,50,27,IKD-b
86,0.545923698398013,2.7502497158418175,GP,50,17,kernel PCA
87,0.5569624850884763,2.654614029797822,GP,50,28,IKD
54,0.535777829689272,2.797386216708213,GP,50,17,IKD
90,0.4530260623167664,2.9476301310461985,GP,50,29,IKD
91,0.7876974986853198,1.092550439537731,GP,50,29,IKD-b
92,0.8600493440034103,0.7994298273874701,GP,50,18,Laplacian eigenmaps
58,0.9060886887726834,0.5255537083557148,GP,50,18,IKD-b
95,0.6321710217609009,2.136170277643506,GP,50,19,PCA
96,0.6079488581872787,2.161328497660542,GP,50,31,IKD
97,0.6233841859655952,2.0001497472064895,GP,50,31,IKD-b
100,0.954739538985295,0.2618079108989743,GP,50,32,IKD-b
101,0.5507406100282984,2.8362374560698296,GP,50,20,kernel PCA
102,0.4765530135817926,2.7693343261434937,GP,50,33,IKD
63,0.49549436832715216,3.183350689445021,GP,50,20,IKD
64,0.9383669851440107,0.3951442196965637,GP,50,20,IKD-b
105,0.6511509519637171,1.9419040219672328,GP,50,34,IKD
106,0.9446535555326593,0.31003381296389687,GP,50,34,IKD-b
107,0.8339543277198654,0.9445809874766589,GP,50,21,Laplacian eigenmaps
110,0.6244726640765824,2.145226773068218,GP,50,22,PCA
111,0.5395374051135743,2.5602594030088928,GP,50,36,IKD
112,0.9632527003445043,0.19584569805101157,GP,50,36,IKD-b
69,0.6027351392339751,2.32672484454041,GP,50,22,IKD
115,0.9648169939044915,0.2097459914413949,GP,50,37,IKD-b
116,0.7031046065262411,1.8792222866782877,GP,50,23,kernel PCA
117,0.3025255680497813,3.9827042939146557,GP,50,38,IKD
73,0.8722519107974639,0.8196191646898702,GP,50,23,IKD-b
120,0.6209692719105662,2.196211284213335,GP,50,39,IKD
121,0.9425320498085453,0.3260343454671381,GP,50,39,IKD-b
122,0.8404989749126813,0.9756666448418864,GP,50,24,Laplacian eigenmaps
125,0.5538964355007301,2.478840452440869,GP,50,25,PCA
126,0.5656836710407142,2.449290551119473,GP,50,41,IKD
127,0.9410885813624615,0.32660401569953795,GP,50,41,IKD-b
78,0.5146572244028911,2.662372462333263,GP,50,25,IKD
79,0.929088381721299,0.38662547269507774,GP,50,25,IKD-b
130,0.9389523636279264,0.30786376640603236,GP,50,42,IKD-b
131,0.7356693082972572,1.7244615965849033,GP,50,26,kernel PCA
132,0.526193251922843,2.615992524666911,GP,50,43,IKD
135,0.3782911620789265,3.399206791568306,GP,50,44,IKD
136,0.9139264489684106,0.4683649687617757,GP,50,44,IKD-b
137,0.7822333642523257,1.2008106123562838,GP,50,27,Laplacian eigenmaps
84,0.4848920123269987,2.8421164228068503,GP,50,27,IKD
140,0.6138325501830137,2.35410590672948,GP,50,28,PCA
141,0.5741615436029303,2.3474859712882274,GP,50,46,IKD
142,0.9383991931885657,0.3401227338074239,GP,50,46,IKD-b
88,0.9593371146664459,0.24572628832736843,GP,50,28,IKD-b
145,0.9523795574323559,0.2739956617770129,GP,50,47,IKD-b
146,0.6529569257660542,1.88452345996432,GP,50,29,kernel PCA
147,0.6307019908984786,1.9989951593540176,GP,50,48,IKD
150,0.45433776644839735,3.207360152853258,GP,50,49,IKD
151,0.6009416021218398,2.3978857847471606,GP,50,49,IKD-b
152,0.8439116060529117,0.8972523387262209,GP,50,30,Laplacian eigenmaps
93,0.5961115284401788,2.324290321542851,GP,50,30,IKD
94,0.9343622908836208,0.3731103795999497,GP,50,30,IKD-b
155,0.5912398380861407,2.244132247185037,GP,50,31,PCA
156,0.6364494723780485,1.993978119267539,GP,50,31,kernel PCA
157,0.8388356705266867,0.8893791099962987,GP,50,31,Laplacian eigenmaps
160,0.5300112526577768,2.6596392684141006,GP,50,32,PCA
161,0.7465717205200534,1.4268247037067534,GP,50,32,kernel PCA
162,0.8613382803971348,0.7887367196143241,GP,50,32,Laplacian eigenmaps
99,0.6025383020693603,2.21103573260771,GP,50,32,IKD
165,0.5107261944594907,2.5871717763178563,GP,50,33,PCA
