,r2,mse,f,n_attributes,trial,method
0,0.3717586905655901,3.350664400440777,sin,10,0,PCA
1,0.37530449047519276,3.3317532187821115,sin,10,0,kernel PCA
2,0.7484994948043155,1.34135367540652,sin,10,0,Laplacian eigenmaps
3,0.07145376976741136,4.9523117169814865,sin,10,0,IKD
4,0.984170846253401,0.08442326404098097,sin,10,0,IKD-b
5,0.08936464688609114,4.363249684723056,sin,10,1,PCA
6,0.09444449671116317,4.338909916810582,sin,10,1,IKD
7,0.23376817322827803,3.6713496408350923,sin,10,1,IKD-b
10,0.9486923780165902,0.2907941880535139,sin,10,2,IKD-b
11,0.6463596766454043,2.0043133304079808,sin,10,2,kernel PCA
12,0.10197878624700485,5.5355261346049,sin,10,3,IKD
9,0.5754903499900088,2.4059766214745326,sin,10,2,IKD
15,0.28334717281645283,4.141709936503748,sin,10,4,IKD
16,0.5860112707110132,2.392540946828097,sin,10,4,IKD-b
17,0.4507798822902902,3.38546825918202,sin,10,3,Laplacian eigenmaps
13,0.8325628902780664,1.0321053473725696,sin,10,3,IKD-b
20,0.3723372254815377,3.6274149091312036,sin,10,4,PCA
21,0.9245098357339907,0.44505100561395866,sin,10,6,IKD
22,0.9847439246265607,0.0899419381675491,sin,10,6,IKD-b
25,0.9647407193523381,0.17148553635857552,sin,10,7,IKD-b
26,0.2595278911853385,3.859655879886761,sin,10,5,kernel PCA
27,0.002032997918210433,6.167452837018961,sin,10,8,IKD
18,0.2393453713556415,3.9648557657491987,sin,10,5,IKD
19,0.541168597050738,2.391624615145458,sin,10,5,IKD-b
30,0.10370210849161221,5.3603895996364015,sin,10,9,IKD
31,0.7088977355047044,1.7409630947643318,sin,10,9,IKD-b
32,0.8948781680646256,0.6197440086361752,sin,10,6,Laplacian eigenmaps
35,0.49803045189400097,2.44135772515646,sin,10,7,PCA
36,0.21840896088909334,3.957386293214023,sin,10,11,IKD
37,0.07459803505918772,4.6855361288890585,sin,10,11,IKD-b
24,0.5804529578989933,2.0404911337042804,sin,10,7,IKD
40,0.7860428343561467,1.0976085930016353,sin,10,12,IKD-b
41,0.013193524251438937,6.09848059680169,sin,10,8,kernel PCA
