,r2,mse,f,n_attributes,trial,method
79,0.9941835385640565,0.03203518517596934,GP,1000,25,IKD-b
130,0.9884365213759835,0.057402271135089215,GP,1000,42,IKD-b
131,0.8628150536353564,0.9114977332615051,GP,1000,26,kernel PCA
132,0.8828902243724966,0.659447365767682,GP,1000,43,IKD
135,0.8873087093271441,0.6166174318348802,GP,1000,44,IKD
136,0.9919936719557167,0.04340434314768408,GP,1000,44,IKD-b
137,0.9104732761102864,0.49362108314024056,GP,1000,27,Laplacian eigenmaps
84,0.8477297785147432,0.8354039877405617,GP,1000,27,IKD
140,0.7829423539632133,1.2951719928316623,GP,1000,28,PCA
141,0.8509797555453349,0.8262285269001155,GP,1000,46,IKD
142,0.9963440574520082,0.020128190150812766,GP,1000,46,IKD-b
88,0.9975126934783308,0.015044241587068316,GP,1000,28,IKD-b
145,0.9981679809723127,0.010640535317765244,GP,1000,47,IKD-b
146,0.8677027219304788,0.7446767932598833,GP,1000,29,kernel PCA
147,0.8194621280265212,0.9906497359483778,GP,1000,48,IKD
150,0.9167253111522337,0.4907658782270065,GP,1000,49,IKD
151,0.9980335629465816,0.011570868820186974,GP,1000,49,IKD-b
152,0.9124574833916542,0.4981214500381809,GP,1000,30,Laplacian eigenmaps
93,0.7907076138887493,1.207701170195049,GP,1000,30,IKD
94,0.9964450784194564,0.020578591766904786,GP,1000,30,IKD-b
155,0.7968541243363007,1.1304648613825734,GP,1000,31,PCA
156,0.870122074392884,0.7228026871558059,GP,1000,31,kernel PCA
157,0.9148882861745479,0.47047722776832474,GP,1000,31,Laplacian eigenmaps
160,0.7589733458732374,1.3885073097699425,GP,1000,32,PCA
161,0.8383122592777098,0.9347002145170346,GP,1000,32,kernel PCA
162,0.9032265047854948,0.5511259105110846,GP,1000,32,Laplacian eigenmaps
99,0.683667462203784,1.9163095923683933,GP,1000,32,IKD
165,0.8267502356313196,0.91859372056356,GP,1000,33,PCA
166,0.8929768229198899,0.5676509234393504,GP,1000,33,kernel PCA
167,0.9180873348313597,0.4345896051392364,GP,1000,33,Laplacian eigenmaps
103,0.9883551846415483,0.06176412802033298,GP,1000,33,IKD-b
170,0.7793940332956923,1.2240427890842345,GP,1000,34,PCA
171,0.8744314340122691,0.7023668388543512,GP,1000,34,kernel PCA
172,0.9143573579678065,0.47273798158532027,GP,1000,34,Laplacian eigenmaps
175,0.7800528051876849,1.2836495921181132,GP,1000,35,PCA
176,0.8569230756817138,0.8359057231075518,GP,1000,35,kernel PCA
177,0.907169032927493,0.5353322614989001,GP,1000,35,Laplacian eigenmaps
108,0.7692786145580895,1.3408921737409703,GP,1000,35,IKD
109,0.9984296718287391,0.008969585237067201,GP,1000,35,IKD-b
180,0.7874014801280028,1.1815013468873794,GP,1000,36,PCA
181,0.8828403714509601,0.6488465109656999,GP,1000,36,kernel PCA
182,0.9243538131013667,0.41264256168313823,GP,1000,36,Laplacian eigenmaps
185,0.810410515154175,1.1427970934563725,GP,1000,37,PCA
186,0.8768678494712425,0.7432732058033581,GP,1000,37,kernel PCA
187,0.9234807496628292,0.45909529930672327,GP,1000,37,Laplacian eigenmaps
114,0.8985666404726546,0.6110870857886584,GP,1000,37,IKD
190,0.7894359159604099,1.2089651744686647,GP,1000,38,PCA
191,0.8675297696497429,0.7594928721805593,GP,1000,38,kernel PCA
192,0.9186819559303724,0.46413443734162746,GP,1000,38,Laplacian eigenmaps
118,0.9986447746115997,0.0077656684223488094,GP,1000,38,IKD-b
195,0.7827516100921925,1.217549761154813,GP,1000,39,PCA
196,0.8759884355990982,0.7009465939428526,GP,1000,39,kernel PCA
197,0.924173425585074,0.42754917205945625,GP,1000,39,Laplacian eigenmaps
200,0.8030350657345112,1.0819794849832103,GP,1000,40,PCA
201,0.8811641405803347,0.6567016492136682,GP,1000,40,kernel PCA
202,0.9166547809560589,0.45453217137074486,GP,1000,40,Laplacian eigenmaps
123,0.8500036964598676,0.8281521274568143,GP,1000,40,IKD
124,0.991168961834663,0.04661741071563924,GP,1000,40,IKD-b
205,0.793545930585883,1.13998202374686,GP,1000,41,PCA
206,0.8649153480030947,0.7468204155108672,GP,1000,41,kernel PCA
207,0.9188717514103036,0.4467790386531026,GP,1000,41,Laplacian eigenmaps
210,0.8265766016459298,0.8693331842670146,GP,1000,42,PCA
211,0.8960076265159853,0.5197095754841362,GP,1000,42,kernel PCA
212,0.915514752998725,0.4196267821948008,GP,1000,42,Laplacian eigenmaps
129,0.889586551916251,0.5415724949060602,GP,1000,42,IKD
215,0.821069696237054,1.0151840579426334,GP,1000,43,PCA
216,0.8825168369598678,0.6659502980354937,GP,1000,43,kernel PCA
217,0.9267681034628659,0.41656255845956885,GP,1000,43,Laplacian eigenmaps
133,0.9982240905856937,0.010009729487972038,GP,1000,43,IKD-b
220,0.7735974407905771,1.2373472697900987,GP,1000,44,PCA
221,0.8789429111231307,0.6612824142452024,GP,1000,44,kernel PCA
222,0.9086507496657849,0.5022073302628621,GP,1000,44,Laplacian eigenmaps
225,0.7696528282457482,1.2748717675776848,GP,1000,45,PCA
226,0.8524207338476484,0.8193617229612253,GP,1000,45,kernel PCA
227,0.8972645289228419,0.5619426578246779,GP,1000,45,Laplacian eigenmaps
138,0.8802039062016553,0.6674765625921973,GP,1000,45,IKD
139,0.998646200554327,0.007407655296793522,GP,1000,45,IKD-b
230,0.8092818718727006,1.0531494134100328,GP,1000,46,PCA
231,0.8795317682520486,0.6654495484004089,GP,1000,46,kernel PCA
232,0.9201188494394311,0.4393751055076362,GP,1000,46,Laplacian eigenmaps
235,0.7890814209377389,1.2281493881460845,GP,1000,47,PCA
236,0.8566004774937017,0.8372376962998532,GP,1000,47,kernel PCA
237,0.9091873789959283,0.5189752927211869,GP,1000,47,Laplacian eigenmaps
144,0.8736477578794299,0.7462218152852302,GP,1000,47,IKD
240,0.7761089990377977,1.21651572129218,GP,1000,48,PCA
241,0.8626487207262766,0.7473055812878194,GP,1000,48,kernel PCA
242,0.9043096800241098,0.5198224441519911,GP,1000,48,Laplacian eigenmaps
148,0.993226794355523,0.036682890041487635,GP,1000,48,IKD-b
245,0.7801932127138868,1.3017726765344986,GP,1000,49,PCA
246,0.8606675596116528,0.8263808601638335,GP,1000,49,kernel PCA
247,0.9099995285942682,0.5308031376739378,GP,1000,49,Laplacian eigenmaps
